Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age Group,c19_deaths,pneu_deaths,flu_deaths,pne_or_flu_deaths,pne_flu_c19_deaths,total_deaths
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Alaska,65 years and over,0,,0,,,59
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Arizona,All Ages,0,71,12,83,83,"1,248"
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Arizona,0-17 years,0,0,,,,13
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Arizona,18-64 years,0,14,,17,17,286
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Arizona,65 years and over,0,57,,64,64,949
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Arkansas,All Ages,0,57,,65,65,689
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Arkansas,0-17 years,0,0,0,0,0,12
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Arkansas,18-64 years,0,,,13,13,177
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Arkansas,65 years and over,0,48,,52,52,500
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,California,All Ages,0,426,59,485,485,"5,665"
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,California,0-17 years,0,,,,,61
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,California,18-64 years,0,78,24,102,102,"1,351"
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,California,65 years and over,0,346,33,379,379,"4,253"
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Colorado,All Ages,0,44,,50,50,787
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Colorado,0-17 years,0,0,0,0,0,13
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Colorado,18-64 years,0,10,,13,13,174
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Colorado,65 years and over,0,34,,37,37,600
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Connecticut,All Ages,0,42,11,53,53,673
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Connecticut,0-17 years,0,0,,,,
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Connecticut,18-64 years,0,,,13,13,155
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Connecticut,65 years and over,0,33,,39,39,509
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Delaware,All Ages,0,16,0,16,16,197
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Delaware,0-17 years,0,0,0,0,0,
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Delaware,18-64 years,0,,0,,,41
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Delaware,65 years and over,0,13,0,13,13,155
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,District of Columbia,All Ages,0,11,0,11,11,122
